division,order_number,customer_name,proj_num,order_create_date,eck_date,BD_Act_Compl_Date,budget_hours,acutal_hours,Complexity,eck_lead_wks,eck_range_high,eck_range_low,include,days_to_book,eck_month,book_month,fiscal_year,above_limit
VP,1901766301,"DPH GENERAL CONTRACTORS, LLC",19017663,2019-08-20,2019-12-13,NA,176.9,114.5,Moderate (100-200),16.43,16.42,1.38,No,NA,2019-12-01,NA,2020,0.00999999999999801
VP,1901339001,"BAKER BUILDERS, LLC",19013390,2019-06-17,2019-10-02,2019-10-08,131.25,115,Moderate (100-200),15.29,15.28,1.03,No,6,2019-10-01,2019-10-01,2020,0.00999999999999979
BUTLER,1803025101,"WITMER'S, INC.",18030251,2018-05-04,2018-08-16,2018-08-17,114,96.25,Moderate (100-200),14.86,14.85,0.9,No,1,2018-08-01,2018-08-01,2019,0.00999999999999979
VP,1700763401,"HANSEN-RICE, INC.",17007634,2017-03-31,2017-07-20,2017-09-27,154,187.15,Moderate (100-200),15.86,15.85,1.21,No,69,2017-07-01,2017-09-01,2018,0.00999999999999979
VP,1802209801,"CHG BUILDING SYSTEMS, INC.",18022098,2018-02-13,2018-07-16,2018-08-21,393.66,58.25,Complex (200-400),21.86,21.84,3,No,36,2018-07-01,2018-08-01,2019,0.0199999999999996
BUTLER,1803541601,"RICE COMPANIES, INC",18035416,2018-07-11,2018-10-25,2018-10-25,125,175.25,Moderate (100-200),15.14,15.12,0.99,No,0,2018-10-01,2018-10-01,2019,0.0200000000000014
VP,1803520201,"BRAND CONSTRUCTION, INC.",18035202,2018-07-09,2018-10-22,2018-10-23,118.9,226,Moderate (100-200),15,14.97,0.94,No,1,2018-10-01,2018-10-01,2019,0.0299999999999994
VP,1702619901,"HANSEN-RICE, INC.",17026199,2017-11-03,2018-02-09,2018-02-12,78.96,127.17,Simple (<=100),14,13.97,0.64,No,3,2018-02-01,2018-02-01,2018,0.0299999999999994
VP,1900211701,"JESCO, INC. CONSTRUCTION",19002117,2019-02-07,2019-06-04,2019-06-04,186.82,219,Moderate (100-200),16.71,16.67,1.45,No,0,2019-06-01,2019-06-01,2019,0.0399999999999991
VP,1901633401,"CLENDENIN BROS., INC.",19016334,2019-07-29,2019-11-20,2019-11-21,169.96,236.9,Moderate (100-200),16.29,16.25,1.32,No,1,2019-11-01,2019-11-01,2020,0.0399999999999991
VP,1900287801,"BUILDING STRUCTURES & EXTERIORS, LLC",19002878,2019-06-03,2019-09-04,2019-10-15,50.12,73.13,Simple (<=100),13.29,13.25,0.43,No,41,2019-09-01,2019-10-01,2020,0.0399999999999991
VP,1901007001,PARIC CORPORATION,19010070,2019-05-20,2019-09-20,2019-09-20,220.79,231.75,Complex (200-400),17.57,17.52,1.71,No,0,2019-09-01,2019-09-01,2020,0.0500000000000007
