division,order_number,customer_name,proj_num,Complexity,fiscal_year,eck_lead_wks,include,eck_month,book_month,days_to_book
VP,1602807301,"MIELKE CONSTRUCTORS, LLC",16028073,Moderate (100-200),2017,15.29,Yes,2017-04-01,2017-05-01,6
VP,1602807601,"MIELKE CONSTRUCTORS, LLC",16028076,Complex (200-400),2017,16.14,Yes,2017-05-01,2017-05-01,1
VP,1700341301,"MCCORMICK STRUCTURAL SYSTEMS, INC.",17003413,Complex (200-400),2017,6.29,Yes,2017-06-01,2017-06-01,4
VP,1700493801,DUBLIN BUILDING SYSTEMS,17004938,Moderate (100-200),2017,9.14,Yes,2017-06-01,2017-06-01,1
VP,1700610501,"UHL CONSTRUCTION COMPANY, INC.",17006105,Moderate (100-200),2017,11.14,Yes,2017-05-01,2017-05-01,1
VP,1700858901,"ALLEGHENY CONSTRUCTION GROUP, INC.",17008589,Moderate (100-200),2017,12.86,Yes,2017-06-01,2017-06-01,1
VP,1700869901,DUBLIN BUILDING SYSTEMS,17008699,Complex (200-400),2017,7.14,Yes,2017-06-01,2017-06-01,4
VP,1700901801,SCHUMACHER CONSTRUCTION COMPANY,17009018,Moderate (100-200),2017,5.57,Yes,2017-06-01,2017-06-01,0
VP,1700988701,DUBLIN BUILDING SYSTEMS,17009887,Complex (200-400),2017,6.14,Yes,2017-06-01,2017-06-01,1
VP,1701049801,BARTHOLOMEW CONSTRUCTION,17010498,Moderate (100-200),2017,6.43,Yes,2017-06-01,2017-06-01,1
VP,1701133601,K. WOHLTMAN CONSTRUCTION,17011336,Simple (<=100),2017,3.14,Yes,2017-05-01,2017-05-01,1
VP,1701322401,"JOHN ADAMS CONSTRUCTION CO., INC.",17013224,Simple (<=100),2017,4.14,Yes,2017-06-01,2017-06-01,0
VP,1601258401,"EVERGREEN INDUSTRIAL, LTD",16012584,Moderate (100-200),2017,47.57,No,2017-05-01,2017-06-01,28
VP,1700681101,GARVIN CONSTRUCTION,17006811,Simple (<=100),2017,4.14,Yes,2017-04-01,2017-05-01,34
VP,1700837901,LEFEVER BUILDING SYSTEMS,17008379,Complex (200-400),2017,10.57,Yes,2017-06-01,2017-06-01,1
