"","Region","Office","fc_redist","act_redist","pct_of_forecast","threshold"
"1","BBNA",NA,-3988338.47,-4128725.4,1.04,"Yes"
"2","EAST","ANN",-227407.95,-209220,0.92,"No"
"3","EAST","AR",-248083.44,-250675.7,1.01,"Yes"
"4","EAST","EVA",-417361.56,-412515,0.99,"No"
"5","EAST","GBO",-383780.76,-387139.5,1.01,"Yes"
"6","EAST","MEM",-254542.04,-199523.5,0.78,"No"
"7","INTL","CX",-162500,-155137.5,0.95,"No"
"8","INTL","IN",-455000,-447540.95,0.98,"No"
"9","INTL","MXC",-364000,-366202.75,1.01,"Yes"
"10","INTL","XIAN",-73125,-54832.5,0.75,"No"
"11","OS","OS",-162910,-150830,0.93,"No"
"12","WEST","BSC",-198120.78,-89461.5,0.45,"No"
"13","WEST","KAN",-239139.28,-310644,1.3,"Yes"
"14","WEST","SPC",-326572.78,-531165,1.63,"Yes"
"15","WEST","STJ",-178479.4,-149215,0.84,"No"
"16","WEST","VIS",-297315.48,-414622.5,1.39,"Yes"
